title,author,cover,price,reviewsStar,reviewsCount
The Way I Hate Him,Meghan Quinn,https://m.media-amazon.com/images/I/51Ze3Ke6IQL._SY300_.jpg,4.99,4.5,3833
Never Lie: An addictive psychological thriller,Freida McFadden,https://m.media-amazon.com/images/I/41oCesFWhdL._SY300_.jpg,3.99,4.4,72107
Home Front: A Novel,Kristin Hannah,https://m.media-amazon.com/images/I/4109bZx-UNL._SY300_.jpg,2.99,4.6,29243
The Housemaid: An absolutely addictive psychological thriller with a jaw-dropping twist,Freida McFadden,https://m.media-amazon.com/images/I/51kWVdaICZL._SY300_.jpg,3.99,4.5,169848
In the Likely Event,Rebecca Yarros,https://m.media-amazon.com/images/I/51bMZ63tXrL._SY300_.jpg,4.99,4.5,11334
Hideaway Heart: An enemies to lovers- forced proximity small town romance (Cherry Tree Harbor Book 2),Melanie Harlow,https://m.media-amazon.com/images/I/51H1kVp5cfL._SY300_.jpg,4.99,4.6,1428
The Wrong Wife: A Best Friend&#39;s Brother Marriage of Convenience Romance,L. Steele,https://m.media-amazon.com/images/I/51XUkhOJVZL._SY300_.jpg,3.99,4.1,1111
Cognac Villain (Pushkin Bratva Book 1),Nicole Fox,https://m.media-amazon.com/images/I/51IdX0EhAIL._SY300_.jpg,2.99,4.5,2079
The Summer I Turned Pretty,Jenny Han,https://m.media-amazon.com/images/I/41-KzR9ASUL._SY300_.jpg,8.77,4.5,35940
The Housemaid&#39;s Secret: A totally gripping psychological thriller with a shocking twist,Freida McFadden,https://m.media-amazon.com/images/I/51VqQanjWoL._SY300_.jpg,4.99,4.5,82399
The Summer of Broken Rules,K. L. Walther,https://m.media-amazon.com/images/I/51XqLkzmj+L._SY300_.jpg,8.13,4.2,9014
Fourth Wing (The Empyrean Book 1),Rebecca Yarros,https://m.media-amazon.com/images/I/61dEdpy80UL._SY300_.jpg,10.99,4.8,57887
The Starfish Sisters: A Novel,Barbara O'Neal,https://m.media-amazon.com/images/I/41F4vp58uqL._SY300_.jpg,4.99,4.6,1662
Don&#39;t Forget to Write: A Novel,Sara Goodman Confino,https://m.media-amazon.com/images/I/51ZHx3q31nL._SY300_.jpg,4.99,4.7,2149
Red- White &amp; Royal Blue: A Novel,Casey McQuiston,https://m.media-amazon.com/images/I/517JVp6SudL._SY300_.jpg,9.99,4.5,45493
We&#39;ll Always Have Summer (Summer I Turned Pretty Book 3),Jenny Han,https://m.media-amazon.com/images/I/41vlc4ugVLL._SY300_.jpg,8.46,4.5,22050
Tom Lake: A Reese&#39;s Book Club Pick,Ann Patchett,https://m.media-amazon.com/images/I/51F4TgwRlyL._SY300_.jpg,14.99,4.5,831
The Perfect Marriage: A Completely Gripping Psychological Suspense,Jeneva Rose,https://m.media-amazon.com/images/I/411Ks+eZOqL._SY300_.jpg,7.99,4.3,106540
What Never Happened: A Thriller,Rachel Howzell Hall,https://m.media-amazon.com/images/I/51YUW3UEBHL._SY300_.jpg,4.99,4,7805
Haunting Adeline (Cat and Mouse Duet Book 1),H. D. Carlton,https://m.media-amazon.com/images/I/51dLVZWCcYL._SY300_.jpg,4.99,4.4,52114
It&#39;s Not Summer Without You (The Summer I Turned Pretty Book 2),Jenny Han,https://m.media-amazon.com/images/I/41UYyFzbikL._SY300_.jpg,8.53,4.5,24889
Malibu Burning (Sharpe &amp; Walker Book 1),Lee Goldberg,https://m.media-amazon.com/images/I/513Dx7zWWyL._SY300_.jpg,4.99,4.5,1428
Cognac Vixen (Pushkin Bratva Book 2),Nicole Fox,https://m.media-amazon.com/images/I/41bhVlWbGML._SY300_.jpg,7.99,4.5,2083
Brooklyn Cupid: A Hidden Identity Roommate Romance,Lexi Ray,https://m.media-amazon.com/images/I/51mxZiEK1tL._SY300_.jpg,4.99,4.4,54
Watching You: A Novel,Lisa Jewell,https://m.media-amazon.com/images/I/51fWUNciSVL._SY300_.jpg,8.54,4.3,28489
Divine Rivals: A Novel (Letters of Enchantment Book 1),Rebecca Ross,https://m.media-amazon.com/images/I/51lEAemsD3L._SY300_.jpg,10.99,4.4,6605
Things We Never Got Over (Knockemout Book 1),Lucy Score,https://m.media-amazon.com/images/I/41qiZpKBDvL._SY300_.jpg,10.99,4.5,144398
Craving: A Roomates-to-Lovers Romance (The Four Groomsmen of the Wedpocalypse Book 2),Lilian Monroe,https://m.media-amazon.com/images/I/51vYsI9SiYL._SY300_.jpg,4.99,4.5,168
The Last Flight: A Novel,Julie Clark,https://m.media-amazon.com/images/I/51j4N42wa4L._SY300_.jpg,9,4.4,43211
Maybe Someday,Colleen Hoover,https://m.media-amazon.com/images/I/51QRIQ7FpUL._SY300_.jpg,10.06,4.4,47680
