isbn|title|pages|cover|synopsis|publishDate|publisher|price|author|language|rating|totalReviews|categorySlug
B000XUBEYS|American Prometheus: The Inspiration for the Major Motion Picture OPPENHEIMER|250|https://m.media-amazon.com/images/I/51A94zaL2OL.jpg|THE INSPIRATION FOR THE MAJOR MOTION PICTURE OPPENHEIMER A riveting account of one of historys most essential and paradoxical figuresChristopher Nolan 1 NEW YORK TIMES BESTSELLER PULITZER PRIZE WINNER The definitive biography of J Robert Oppenheimer one of the iconic figures of the twentieth century a brilliant physicist who led the effort to build the atomic bomb for his country in a time of war and who later found himself confronting the moral consequences of scientific progress In this magisterial acclaimed biography twentyfive years in the making Kai Bird and Martin Sherwin capture Oppenheimers life and times from his early career to his central role in the Cold War This is biography and history at its finest riveting and deeply informative A masterful account of Oppenheimers rise and fall set in the context of the turbulent decades of Americas own transformation It is a tour de force Los Angeles Times Book Review A work of voluminous scholarship and lucid insight unifying its multifaceted portrait with a keen grasp of Oppenheimers essential nature It succeeds in deeply fathoming his most damaging selfcontradictory behavior The New York Times|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Vintage Reprint edition|8.9|Kai Bird|English|4.6|4256|biography
B07Q5TL9SQ|If You Tell: A True Story of Murder, Family Secrets, and the Unbreakable Bond of Sisterhood|431|https://m.media-amazon.com/images/I/41nIJTI4vXL.jpg|A 1 Wall Street Journal Amazon Charts USA Today and Washington Post bestseller 1 New York Times bestselling author Gregg Olsens shocking and empowering truecrime story of three sisters determined to survive their mothers house of horrors After more than a decade when sisters Nikki Sami and Tori Knotek hear the word mom it claws like an eagles talons triggering memories that have been their secret since childhood Until now For years behind the closed doors of their farmhouse in Raymond Washington their sadistic mother Shelly subjected her girls to unimaginable abuse degradation torture and psychic terrors Through it all Nikki Sami and Tori developed a defiant bond that made them far less vulnerable than Shelly imagined Even as others were drawn into their mothers dark and perverse web the sisters found the strength and courage to escape an escalating nightmare that culminated in multiple murders Harrowing and heartrending If You Tell is a survivors story of absolute eviland the freedom and justice that Nikki Sami and Tori risked their lives to fight for Sisters forever victims no more they found a light in the darkness that made them the resilient women they are todayloving loved and moving on|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Thomas Mercer|12.4|Gregg Olsen|English|4.3|131332|biography
B0B6Z4SVTH|The Wager: A Tale of Shipwreck, Mutiny and Murder|327|https://m.media-amazon.com/images/I/51YZKMOv6bL.jpg|1 NEW YORK TIMES BESTSELLER From the author of Killers of the Flower Moon a pageturning story of shipwreck survival and savagery culminating in a court martial that reveals a shocking truth The powerful narrative reveals the deeper meaning of the events on The Wager showing that it was not only the captain and crew who ended up on trial but the very idea of empire RivetingReads like a thriller tackling a multilayered historyand imperialismwith gusto Time A tour de force of narrative nonfiction The Wall Street Journal On January 28 1742 a ramshackle vessel of patchedtogether wood and cloth washed up on the coast of Brazil Inside were thirty emaciated men barely alive and they had an extraordinary tale to tell They were survivors of His Majestys Ship the Wager a British vessel that had left England in 1740 on a secret mission during an imperial war with Spain While the Wager had been chasing a Spanish treasurefilled galleon known as the prize of all the oceans it had wrecked on a desolate island off the coast of Patagonia The men after being marooned for months and facing starvation built the flimsy craft and sailed for more than a hundred days traversing nearly 3000 miles of stormwracked seas They were greeted as heroes But then six months later another even more decrepit craft landed on the coast of Chile This boat contained just three castaways and they told a very different story The thirty sailors who landed in Brazil were not heroes they were mutineers The first group responded with countercharges of their own of a tyrannical and murderous senior officer and his henchmen It became clear that while stranded on the island the crew had fallen into anarchy with warring factions fighting for dominion over the barren wilderness As accusations of treachery and murder flew the Admiralty convened a court martial to determine who was telling the truth The stakes were lifeanddeathfor whomever the court found guilty could hang The Wager is a grand tale of human behavior at the extremes told by one of our greatest nonfiction writers Granns recreation of the hidden world on a British warship rivals the work of Patrick OBrian his portrayal of the castaways desperate straits stands up to the classics of survival writing such as The Endurance and his account of the court martial has the savvy of a Scott Turow thriller As always with Granns work the incredible twists of the narrative hold the reader spellbound|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Doubleday|14.1|David Grann|English|4.5|10624|biography
B01CWZFBZ4|Killers of the Flower Moon: The Osage Murders and the Birth of the FBI|347|https://m.media-amazon.com/images/I/51+JR0wnmiL.jpg|1 NEW YORK TIMES BESTSELLER A twisting haunting truelife murder mystery about one of the most monstrous crimes in American history from the author of The Wager and The Lost City of Z one of the preeminent adventure and truecrime writers working todayNew York Magazine NATIONAL BOOK AWARD FINALIST SOON TO BE A MAJOR MOTION PICTURE A shocking whodunitWhat more could fans of truecrime thrillers askUSA Today A masterful work of literary journalism crafted with the urgency of a mystery The Boston Globe In the 1920s the richest people per capita in the world were members of the Osage Nation in Oklahoma After oil was discovered beneath their land the Osage rode in chauffeured automobiles built mansions and sent their children to study in Europe Then one by one the Osage began to be killed off The family of an Osage woman Mollie Burkhart became a prime target One of her relatives was shot Another was poisoned And it was just the beginning as more and more Osage were dying under mysterious circumstances and many of those who dared to investigate the killings were themselves murdered As the death toll rose the newly created FBI took up the case and the young director J Edgar Hoover turned to a former Texas Ranger named Tom White to try to unravel the mystery White put together an undercover team including a Native American agent who infiltrated the region and together with the Osage began to expose one of the most chilling conspiracies in American history Look for David Granns latest bestselling book The Wager|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Vintage|7.1|David Grann|English|4.4|50965|biography
B07S7QPG6J|Everything I Know About Love: A Memoir|368|https://m.media-amazon.com/images/I/513nNJRKf0L.jpg|New York Times Bestseller Everything I Know About Love now streaming on Peacock There is no writer quite like Dolly Alderton working today and very soon the world will know it Lisa Taddeo author of 1 New York Times bestseller Three Women Dolly Alderton has always been a sparkling Roman candle of talent She is funny smart and explosively engaged in the wonders and weirdness of the world But what makes this memoir more than mere entertainment is the mature and sophisticated evolution that Alderton describes in these pages Its a beautifully told journey and a thoughtful important book I loved it Elizabeth Gilbert New York Times bestselling author of Eat Pray Love and City of Girls The wildly funny occasionally heartbreaking internationally bestselling memoir about growing up growing older and learning to navigate friendships jobs loss and love along the ride When it comes to the trials and triumphs of becoming an adult journalist and former Sunday Times columnist Dolly Alderton has seen and tried it all In her memoir she vividly recounts falling in love finding a job getting drunk getting dumped realizing that Ivan from the corner shop might just be the only reliable man in her life and that absolutely no one can ever compare to her best girlfriends Everything I Know About Love is about bad dates good friends andabove all else realizing that you are enough Glittering with wit and insight heart and humor Dolly Aldertons unforgettable debut weaves together personal stories satirical observations a series of lists recipes and other vignettes that will strike a chord of recognition with women of every agemaking you want to pick up the phone and tell your best friends all about it Like Bridget Jones Diary but all true Everything I Know About Love is about the struggles of early adulthood in all its terrifying and hopeful uncertainty|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Harper|6.1|Dolly Alderton|English|4.2|21868|biography
B00M60S3II|On Gold Mountain: The One-Hundred-Year Odyssey of My Chinese-American Family|675|https://m.media-amazon.com/images/I/51bXC5bSVWL.jpg|From the bestselling author of The Island of Sea Women here is the true story of the onehundredyearodyssey of the authors ChineseAmerican family combining years of research with fascinating family anecdotes imaginative details and the historical details of immigrant life Amy Tan bestselling author of The Joy Luck Club As engagingly readable as any novel Los Angeles Times Book Review In 1867 Lisa Sees greatgreatgrandfather arrived in America where he prescribed herbal remedies to immigrant laborers who were treated little better than slaves His son Fong See later built a mercantile empire and married a Caucasian woman in spite of laws prohibiting interracial marriage Lisa herself grew up playing in her familys antiques store in Los Angeless Chinatown listening to stories of missionaries and prostitutes movie stars and Chinese baseball teams Sees family history encompasses secret marriages entrepreneurial genius romance racism and much more as two distinctly different cultures meet in a new world in this lovingly renderedvivid tableau of a family and an era People|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Vintage|11.1|Lisa See|English|4.3|2273|biography
B0C5JX6JH2|American Black Widow: The shocking true story of a preacher's wife turned killer (Dangerous Women - True Crime Stories)|370|https://m.media-amazon.com/images/I/51P4c8ocOzL.jpg|From the 1 New York Times bestselling author of If You Tell comes the chilling unputdownable story of Sharon Nelson the ministers wife whose two husbands mysteriously ended up dead Colorado 1976 When Reverend Mike Fuller and his beautiful wife Sharon arrive in the sleepy town of Rocky Ford local residents think somethings off about the new couple The Godfearing minister is gruff and cold while charismatic Sharon has her husband wrapped around her finger It isnt long before Sharon is charming her husbands congregation and finds herself in a tryst with local married optometrist Perry Nelson After the affair ends both their marriages Sharon and Perry tie the knot But shortly afterwards Perry disappears When his body is shockingly discovered the bottom of a canyon his death is ruled an accident allowing grieving widow Sharon to claim his substantial life insurance Trying to move on from the tragedy Sharon soon remarries fireman Glenn Harrelson But when the charred remains of Glenns body are discovered with two bullet holes in his skull the police cant help but question if both men dying in such mysterious circumstances is one coincidence too many Shocking sensational and gripping this is the true story of the black widow Sharon Nelson a mustread tale of greed sex and murder in a sleepy Colorado town that will have true crime fans of The Staircase American Mother and Making a Murderer hooked from start to finish This book was originally published as Confessions of an American Black Widow and Bitch on Wheels Read what everyone is saying about American Black Widow Another winner from Gregg Olsen If you really love a great nailbiting true crime novel THIS is it Once you start its darned hard to put down Seriously Mr Olsen again takes you on a twisty narrow road you just cannot put this book down Amazon reviewer Gripping keeps you on the edge of your seat from beginning to end peppered with shocking revelations twists and turns captivating and spinechilling Goodreads reviewer Oh my goodness I could not put this book down fabulous Goodreads reviewer You pick up this book and start to read Suddenly you realize you cannot stop reading you need to know what happened next a page turner this book deeply affected me and I eat true crime books for breakfast amazing one of Gregg Olsens finest Amazon reviewer I read this book in one sitting I couldnt put it downAmazon reviewer I couldnt put it down Brilliantly written I just found my favorite author Amazon reviewer Olsen is an incredible author I couldnt put it down Excellent read Bravo Amazon reviewer Amazing WOW Another winner for Gregg Olsen Amazon reviewer Amazing I literally could not put the book down Amazon reviewer Kept me riveted from the very beginning to the very last page I strongly recommend this book for any true crime fan Amazon reviewer I couldnt put the book down The author made all the characters come alive Amazon reviewer Once you start you dont want to stop until you are done Goodreads reviewer Amazing a must read Amazon reviewer Loved the book I could not ask for a better read Amazon reviewer Excellent kept me on the edge of my seat You had better hang onto your hat for this read Goodreads reviewer|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Thread|12.4|Gregg Olsen|English|4|476|biography
B0BSN24XZS|Broken: The Suspicious Death of Alydar and the End of Horse Racing’s Golden Age|376|https://m.media-amazon.com/images/I/41KzYYD1oqL.jpg|One fateful winter night a famous racehorse mysteriously broke his leg while alone in his stall An investigation ensued but the real story has never been tolduntil now It was a cool quiet evening at Calumet Farm where the most valuable racehorsesincluding the prolific stallion Alydarhad settled into their stalls for the evening Alton Stone filling in for the regular night watchman completed his rounds at the barn Although nothing seemed out of the ordinary an inexplicable hunch led Stone to check on Alydar What he founda grievously injured horse with no discernible causejumpstarted one of the biggest mysteries to ever hit the horse racing world One part truecrime investigation one part evocative history of the adrenalinefilled days of horse racings golden age Broken follows Alydars rise to fame and then dives into the sordid details of the crime and trial that came to define his legacy Told with the taut pacing of a legal thriller Broken investigates Alydars death the 415 million insurance payout and the stain it left on the sport of horse racing Throughout animal law attorney and author Fred M Kray weaves together shocking testimony and key evidence from the trials featuring dramatic photos taken the night of the incident Drawing on interviews conducted with more than twentyfive key witnesses Kray reveals insideronly details and in order to discover the truth about the death of this magnificent horse embarks on a major investigationone that leads to an unexpected and startling conclusion|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Live Oak Press|7.1|Fred M. Kray|English|4.5|115|biography
B002AU7MV8|Somewhere Towards the End: A Memoir|131|https://m.media-amazon.com/images/I/41hbUv5+MZL.jpg|Winner of the 2009 National Book Critics Circle Award in Autobiography and a New York Times bestseller a prizewinning critically acclaimed memoir on life and aging An honest joy to read Alice Munro Hailed as a virtuoso exercise Sunday Telegraph this book reflects candidly sometimes with great humor on the condition of being old Charming readers writers and critics alike the memoir won the Costa Award for Biography and made Athill then ninetyone a surprising literary star Diana Athill was one of the great editors in British publishing For more than five decades she edited the likes of V S Naipaul and Jean Rhys for whom she was a confidante and caretaker As a writer Athill made her reputation for the frankness and precisely expressed wisdom of her memoirs Writing in her ninetyfirst year entirely untamed about both old and new conventions Literary Review and freed from any of the inhibitions that even she may have once had Athill reflects candidly and sometimes with great humor on the condition of being oldthe losses and occasionally the gains that age brings the wisdom and fortitude required to face death Distinguished by remarkable intelligenceand the easy elegance of her prose Daily Telegraph this short wellcrafted book hailed as a virtuoso exercise Sunday Telegraph presents an inspiring work for those hoping to flourish in their later years|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|W W Norton Company Reprint edition|11.1|Diana Athill|English|3.9|1053|biography
B09M1RPWWL|Friends, Lovers, and the Big Terrible Thing: A Memoir|260|https://m.media-amazon.com/images/I/41c-ohcwepL.jpg|INSTANT 1 NEW YORK TIMES BESTSELLER 1 INTERNATIONAL BESTSELLER The BELOVED STAR OF FRIENDS takes us behind the scenes of the hit sitcom and his struggles with addiction in this CANDID DARKLY FUNNYPOIGNANT memoir The New York Times A MOST ANTICIPATED BOOK by Time Associated Press Goodreads USA Today and more Hi my name is Matthew although you may know me by another name My friends call me Matty And I should be dead So begins the riveting story of acclaimed actor Matthew Perry taking us along on his journey from childhood ambition to fame to addiction and recovery in the aftermath of a lifethreatening health scare Before the frequent hospital visits and stints in rehab there was fiveyearold Matthew who traveled from Montreal to Los Angeles shuffling between his separated parents fourteenyearold Matthew who was a nationally ranked tennis star in Canada twentyfouryearold Matthew who nabbed a coveted role as a lead cast member on the talkedabout pilot then called Friends Like Us and so much more In an extraordinary story that only he could telland in the heartfelt hilarious and warmly familiar way only he could tell itMatthew Perry lays bare the fractured family that raised him and also left him to his own devices the desire for recognition that drove him to fame and the void inside him that could not be filled even by his greatest dreams coming true But he also details the peace hes found in sobriety and how he feels about the ubiquity of Friends sharing stories about his castmates and other stars he met along the way Frank selfaware and with his trademark humor Perry vividly depicts his lifelong battle with addiction and what fueled it despite seemingly having it all Friends Lovers and the Big Terrible Thing is an unforgettable memoir that is both intimate and eyeopeningas well as a hand extended to anyone struggling with sobriety Unflinchingly honest moving and uproariously funny this is the book fans have been waiting for|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Flatiron Books|9.9|Matthew Perry|English|4.4|23406|biography
