isbn|title|pages|cover|synopsis|publishDate|publisher|price|author|language|rating|totalReviews|categorySlug
B0CFWMH8RB|Reframe Your Brain: The User Interface for Happiness and Success|253|https://m.media-amazon.com/images/I/41c0P-JUvXL.jpg|In Reframe Your Brain Scott Adams the contrarian genius behind Dilbert and author of the most influential personal success book of all timeHow to Fail at Almost Everything and Still Win Biggives you the complete operating system for lasting happiness Are you familiar with this old saying All publicity is good publicity Thats a classic reframe The quote shifts your thinking from the shame of whatever you did wrong to your probable benefit You cant change the past but you can change how you feel about it Trained hypnotist and persuasion expert Scott Adams has packed more than 160 new counterintuitive and effective reframes into Reframe Your Brain For example Usual Frame Manage your time Reframe Manage your energy Usual Frame Success depends on who you know Reframe Success depends on how many people you know Usual Frame Your critics are evil monsters Reframe Your critics are your mascots Usual Frame The universe is acting against you Reframe The universe owes you Usual Frame Luck is random and cant be managed Reframe You can go where there is more luck more energy These instant perspectiveshifters will help you feel better on demand and succeed at any endeavor without the usual pain or pitfalls The reframe collection covers personal fulfillment business and career success mental health social activities and physical wellbeing If only 10 percent of the reframes work for you your life will never be the same Prepare to embark on a journey of transformation as Scott Adams shares his most invaluable insights and practical techniques to date empowering you to reprogram your own reality using words alone|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Scott Adams Inc|11.1|Scott Adams|English|4.6|27|health
B0B1BTJLJN|Outlive: The Science and Art of Longevity|478|https://m.media-amazon.com/images/I/41VYXZV+GOL.jpg|1 NEW YORK TIMES BESTSELLER A groundbreaking manifesto on living better and longer that challenges the conventional medical thinking on aging and reveals a new approach to preventing chronic disease and extending longterm health from a visionary physician and leading longevity expert One of the most important books youll ever readSteven D Levitt New York Times bestselling author of Freakonomics Wouldnt you like to live longer And better In this operating manual for longevity Dr Peter Attia draws on the latest science to deliver innovative nutritional interventions techniques for optimizing exercise and sleep and tools for addressing emotional and mental health For all its successes mainstream medicine has failed to make much progress against the diseases of aging that kill most people heart disease cancer Alzheimers disease and type 2 diabetes Too often it intervenes with treatments too late to help prolonging lifespan at the expense of healthspan or quality of life Dr Attia believes we must replace this outdated framework with a personalized proactive strategy for longevity one where we take action now rather than waiting This is not biohacking its science a wellfounded strategic and tactical approach to extending lifespan while also improving our physical cognitive and emotional health Dr Attias aim is less to tell you what to do and more to help you learn how to think about longterm health in order to create the best plan for you as an individual In Outlive readers will discover Why the cholesterol test at your annual physical doesnt tell you enough about your actual risk of dying from a heart attack That you may already suffer from an extremely common yet underdiagnosed liver condition that could be a precursor to the chronic diseases of aging Why exercise is the most potent prolongevity drugand how to begin training for the Centenarian Decathlon Why you should forget about diets and focus instead on nutritional biochemistry using technology and data to personalize your eating pattern Why striving for physical health and longevity but ignoring emotional health could be the ultimate curse of all Aging and longevity are far more malleable than we think our fate is not set in stone With the right roadmap you can plot a different path for your life one that lets you outlive your genes to make each decade better than the one before|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Harmony|15.1|Peter Attia MD|English|4.6|5732|health
B07P252R6Y|Emotional Intelligence: Why it is Crucial for Success in Life and Business - 7 Simple Ways to Raise Your EQ, Make Friends with Your Emotions, and Improve Your Relationships|46|https://m.media-amazon.com/images/I/51NGKxquAZL.jpg|Would you like to improve your relationships and learn how to recognize the triggers behind your emotions Would you like to learn how to manage your reaction to those emotions Do you think its time you start developing leadership skills Then this is a book for you Emotional Intelligence Why it is Crucial for Success in Life and Business 7 Simple Ways to Raise Your EQ Make Friends With Your Emotions and Improve Your Relationships explains how 7 simple daily practices can change the way you relate to others Inside youll discover What emotional intelligence is and why it matters How to apply the EQ principles in your everyday life How to listen to your emotions and reflect upon your response How to improve your people skills This book will become your essential guide to improving your professional and personal relationships It will show you how to recognize and interpret the motives behind yours and others behavior It will prepare you for the sophisticated and challenging workplace of the 21st century The new type of leadership calls for new skills and from this book youll learn how emotionally intelligent people deal with change and how this affects their career prospects An introduction to the world of responsible behavior successful teamwork and empathy Why it is Crucial for Success in Life and Business 7 Simple Ways to Raise Your EQ Make Friends With Your Emotions and Improve Your Relationships explains how to draw on your EQ to set yourself up for success Click Buy Now and start rasing your EQ today|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Unknown Publisher|7.1|James W. Williams|English|4.2|1316|health
B07D23CFGR|Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones|319|https://m.media-amazon.com/images/I/51gJpbOQpHL.jpg|The 1 New York Times bestseller Over 10 million copies sold Tiny Changes Remarkable Results No matter your goals Atomic Habits offers a proven framework for improvingevery day James Clear one of the worlds leading experts on habit formation reveals practical strategies that will teach you exactly how to form good habits break bad ones and master the tiny behaviors that lead to remarkable results If youre having trouble changing your habits the problem isnt you The problem is your system Bad habits repeat themselves again and again not because you dont want to change but because you have the wrong system for change You do not rise to the level of your goals You fall to the level of your systems Here youll get a proven system that can take you to new heights Clear is known for his ability to distill complex topics into simple behaviors that can be easily applied to daily life and work Here he draws on the most proven ideas from biology psychology and neuroscience to create an easytounderstand guide for making good habits inevitable and bad habits impossible Along the way readers will be inspired and entertained with true stories from Olympic gold medalists awardwinning artists business leaders lifesaving physicians and star comedians who have used the science of small habits to master their craft and vault to the top of their field Learn how to make time for new habits even when life gets crazy overcome a lack of motivation and willpower design your environment to make success easier get back on track when you fall off course and much more Atomic Habits will reshape the way you think about progress and success and give you the tools and strategies you need to transform your habitswhether you are a team looking to win a championship an organization hoping to redefine an industry or simply an individual who wishes to quit smoking lose weight reduce stress or achieve any other goal|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Avery|8.9|James Clear|English|4.8|113837|health
B07S7QPG6J|Everything I Know About Love: A Memoir|368|https://m.media-amazon.com/images/I/513nNJRKf0L.jpg|New York Times Bestseller Everything I Know About Love now streaming on Peacock There is no writer quite like Dolly Alderton working today and very soon the world will know it Lisa Taddeo author of 1 New York Times bestseller Three Women Dolly Alderton has always been a sparkling Roman candle of talent She is funny smart and explosively engaged in the wonders and weirdness of the world But what makes this memoir more than mere entertainment is the mature and sophisticated evolution that Alderton describes in these pages Its a beautifully told journey and a thoughtful important book I loved it Elizabeth Gilbert New York Times bestselling author of Eat Pray Love and City of Girls The wildly funny occasionally heartbreaking internationally bestselling memoir about growing up growing older and learning to navigate friendships jobs loss and love along the ride When it comes to the trials and triumphs of becoming an adult journalist and former Sunday Times columnist Dolly Alderton has seen and tried it all In her memoir she vividly recounts falling in love finding a job getting drunk getting dumped realizing that Ivan from the corner shop might just be the only reliable man in her life and that absolutely no one can ever compare to her best girlfriends Everything I Know About Love is about bad dates good friends andabove all else realizing that you are enough Glittering with wit and insight heart and humor Dolly Aldertons unforgettable debut weaves together personal stories satirical observations a series of lists recipes and other vignettes that will strike a chord of recognition with women of every agemaking you want to pick up the phone and tell your best friends all about it Like Bridget Jones Diary but all true Everything I Know About Love is about the struggles of early adulthood in all its terrifying and hopeful uncertainty|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Harper|6.1|Dolly Alderton|English|4.2|21868|health
B094176MP9|The Fear of Failure: How To Become An Action Taker, Stop Worrying, Overcome Procrastination and Perfectionism|168|https://m.media-amazon.com/images/I/41hfhu01TLL.jpg|How many times have you missed out on something that could have changed your life all because you were too afraid Is the fear of failure making you procrastinate Is your perfectionism stopping you from taking action Then you need to keep on reading Mistakes and failures often leave us with feelings of unworthiness Thoughts such as Im not good enough or Im not smart enough flood our minds Why do we judge ourselves so harshly Everyone experiences failure at some point in their life But in our society success is celebrated while failure is considered something that we need to stay away from Should failure be something were embarrassed about something that makes us feel worthless Knowing how to handle failure makes a massive difference when it comes to our mental health and our capability to get back on our feet As an entrepreneur author and human being Im no stranger to failure I dont think theres anyone who hasnt experienced it in one way or another which is why I felt inspired to write this book I have wasted many years and so many opportunities because I wasnt feeling ready or good enough Constant worry and selfdoubt in my abilities made me feel imprisoned hopeless and miserable I was trapped in awful imaginary scenarios Fear held me back more than any other obstacle I understand how it feels when the voice inside your head always looks for a way to hold you back But now its time you start nurturing a new voice one that reminds you that youre good enough and that encourages you to push through when all seems to fall apart Between the pages of this book you will discover Where your fear of failure originates from and how to overcome it Stories about some of the most successful people in the world and how they handled their failures How to fight off perfectionism and become an action taker How to stop selfsabotaging and conquer your procrastination tendencies Why you shouldnt rely on motivation to get things done and what you can do instead Practical ways to fight off your inner demons worry and the critical inner voice How to desensitize yourself from the pain of rejection How to manage stress gain inner peace and become a happier version of yourself And much more Even if you dealt with worry selfdoubt and paralyzing fear since youve known yourself this book is simple practical and here to help you get unstuck Dont wait for someone else to change your life Its time to overcome your fear of failure stop procrastinating and fight perfectionism now|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Unknown Publisher|12.4|Wilda Hale|English|4.5|198|health
B08GQHFCTB|Self-Love Workbook for Women: Release Self-Doubt, Build Self-Compassion, and Embrace Who You Are|122|https://m.media-amazon.com/images/I/515BoMOq+TL.jpg|Embrace who you are with this guided selflove workbook for women Discover how much there is to love about yourself using this practical workbook for women of all ages Youll embark on your journey of selfdiscovery by learning what selflove is and then immersing yourself in exercises to help you build your selfesteem and improve your relationships What sets this selfcare journal and workbook apart from other selflove workbooks for women Proven techniquesFall in love with yourself using a variety of compassionate exercises rooted in mindfulness and positive psychology Inspiring prompts and motivating activitiesExplore all that you are with quizzes and journaling exercises that will help you tap into your emotions and let go of limiting beliefs Includes writing space for reflection and introspection Empowering affirmationsBoost your positivity and nurture yourself using the uplifting affirmations interspersed throughout the book Create a life filled with purpose and greater selflove using the SelfLove Workbook for Women|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Rockridge Press|13.1|Megan Logan MSW LCSW|English|4.7|19065|health
B002AU7MV8|Somewhere Towards the End: A Memoir|131|https://m.media-amazon.com/images/I/41hbUv5+MZL.jpg|Winner of the 2009 National Book Critics Circle Award in Autobiography and a New York Times bestseller a prizewinning critically acclaimed memoir on life and aging An honest joy to read Alice Munro Hailed as a virtuoso exercise Sunday Telegraph this book reflects candidly sometimes with great humor on the condition of being old Charming readers writers and critics alike the memoir won the Costa Award for Biography and made Athill then ninetyone a surprising literary star Diana Athill was one of the great editors in British publishing For more than five decades she edited the likes of V S Naipaul and Jean Rhys for whom she was a confidante and caretaker As a writer Athill made her reputation for the frankness and precisely expressed wisdom of her memoirs Writing in her ninetyfirst year entirely untamed about both old and new conventions Literary Review and freed from any of the inhibitions that even she may have once had Athill reflects candidly and sometimes with great humor on the condition of being oldthe losses and occasionally the gains that age brings the wisdom and fortitude required to face death Distinguished by remarkable intelligenceand the easy elegance of her prose Daily Telegraph this short wellcrafted book hailed as a virtuoso exercise Sunday Telegraph presents an inspiring work for those hoping to flourish in their later years|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|W W Norton Company Reprint edition|13.1|Diana Athill|English|3.9|1053|health
B0054TVVPK|The Meaning of Marriage: Facing the Complexities of Commitment with the Wisdom of God|287|https://m.media-amazon.com/images/I/41YtOMELX6L.jpg|Incredibly rich with wisdom and insight that will leave the reader whether single or married feeling uplifted The Washington Times Based on the acclaimed sermon series by New York Times bestselling author Timothy Keller this book shows everyoneChristians skeptics singles longtime married couples and those about to be engagedthe vision of what marriage should be according to the Bible Modern culture would have you believe that everyone has a soul mate that romance is the most important part of a successful marriage that your spouse is there to help you realize your potential that marriage does not mean forever but merely for now and that starting over after a divorce is the best solution to seemingly intractable marriage issues But these modernday assumptions are wrong Timothy Keller with insights from Kathy his wife of thirtyseven years shows marriage to be a glorious relationship that is also misunderstood and mysterious The Meaning of Marriage offers instruction on how to have a successful marriage and is essential reading for anyone who wants to know God and love more deeply in this life|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Penguin Books Reprint edition|14.1|Timothy Keller|English|4.8|7975|health
B0CFKS2MBQ|Radical Self Love: How To Ignite Your Light Through Creativity (The Creative Lifebook Book 2)|376|https://m.media-amazon.com/images/I/41TrzhP--CL.jpg|The external experiences that we manifest at every moment of our lives always reflect our internal state of consciousness With the help of the wisdom youll find on these pages youll learn the art of cultivating selflove which is the key to manifesting any outcome you desire to create The sixtythree experts assembled here each offer their unique wisdom as it relates to the many aspects of selflove and on these pages youll find tool after tool for releasing the past transforming your wounds into wisdom and opening yourself to receive the abundance of life that is your birthright Christy Witman Foreword Author With contributing authors Amber Price Angie Nordstrum Anne Almeida Annette Walters Ariella S Cohen Bonnie McVee Carey Kirkella Carol Arscott Cate Raphael Colleen Brown Courtney Barnard Daniel Cohen Dawn Bova Diana Knezevici Diana Stelin Diane Hunt Dr Zerri Dr Z Gross Ekaterina Popova Elizabeth King Emily Rose Esther Joy Maruani Grigsby Freeman Irene Vivanco Jane Bellante Jennifer Watson Jenny Schuster Jo Davis Joan Fullerton Joann Renner Joanne Enders Karen Stephenson Kat Breedlove Kathy Frederick Kelly Clark Kim Brunson Kristen Hoard Kyle Hollingsworth Laurie Koralewski Linda Damgaard Linda Samuels Maggie OHara Maria Tedjamulia Michaelene Shannon Misty Fulgencio Phyllis Abbott Prissy Elrod Rebecca Rosas Rachel Bush Ree Freeman Shannon Heap Sharon Goodenough Susan Pepler Susaye Greene Tamara Mulkey Tayler Ava Friar Theresa Allen Tina Marie Romero Tonia Majors Tracey Bowden Walker Freeman Wendy Cooper Wendy Drews|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Illuminated Press|9.9|Jessica Hughes|English|4.9|92|health
