isbn|title|pages|cover|synopsis|publishDate|publisher|price|author|language|rating|totalReviews|categorySlug
B00V3L8ZHK|Prisoners of Geography: Ten Maps That Explain Everything About the World (Politics of Place Book 1)|318|https://m.media-amazon.com/images/I/51XWEERpUOL.jpg|In this New York Times bestseller an awardwinning journalist uses ten maps of crucial regions to explain the geopolitical strategies of the world powersfans of geography history and politics and maps will be enthralled Fort Worth StarTelegram Maps have a mysterious hold over us Whether ancient crumbling parchments or generated by Google maps tell us things we want to know not only about our current location or where we are going but about the world in general And yet when it comes to geopolitics much of what we are told is generated by analysts and other experts who have neglected to refer to a map of the place in question All leaders of nations are constrained by geography In one of the best books about geopolitics The Evening Standard now updated to include 2016 geopolitical developments journalist Tim Marshall examines Russia China the US Latin America the Middle East Africa Europe Japan Korea and Greenland and the Arctictheir weather seas mountains rivers deserts and bordersto provide a context often missing from our political reportage how the physical characteristics of these countries affect their strengths and vulnerabilities and the decisions made by their leaders Offering a fresh way of looking at maps The New York Times Book Review Marshall explains the complex geopolitical strategies that shape the globe Why is Putin so obsessed with Crimea Why was the US destined to become a global superpower Why does Chinas power base continue to expand Why is Tibet destined to lose its autonomy Why will Europe never be united The answers are geographical In an ever more complex chaotic and interlinked world Prisoners of Geography is a concise and useful primer on geopolitics Newsweek and a critical guide to one of the major determining factors in world affairs|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Scribner 1st edition|9.9|Tim Marshall|English|4.5|4401|politics
B07XKDNFJQ|The Beginner's Guide to Stoicism: Tools for Emotional Resilience and Positivity|179|https://m.media-amazon.com/images/I/51CY98UlqqL.jpg|Optimize joy overcome obstaclesdiscover the calm of stoicism Being a stoic means embracing positivity and selfcontrol through the ability to accept the uncertainty of outcomes With this stoicism guide the beginner stoic will learn how to take charge of their emotions on the path to sustained happiness and satisfaction This easytonavigate stoicism guide gives you the emotional tools needed to let go of the things you cant control and find joy in what you have Through thoughtprovoking strategies and exercises this book helps you find contentment so you can build closer relationships and become an active member of society The Beginners Guide to Stoicism includes Evolution of stoicismDiscover the history of stoicism and how its principles can help you find peace Complete the mindsetFind acceptance using an essential emotional toolkit based on the disciplines of Desire Action and Assent Time to reflectApply what youve learned to your own life with ethical questions quotes and exercises Change your perception focus on positivitybecome the best version of yourself with The Beginners Guide to Stoicism|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Althea Press|13.1|Matthew Van Natta|English|4.6|1765|politics
B0BG14PNPY|Wonder Drug: The Secret History of Thalidomide in America and Its Hidden Victims|606|https://m.media-amazon.com/images/I/51UT7Ep88XL.jpg|A shocking saga of pharmaceutical malpractice Wonder Drug is both a firstrate medical thriller and the searing account of a forgotten American tragedyPatrick Radden Keefe author of Empire of Pain A fascinating and compassionate People account of the most notorious drug of the twentieth century and the neverbeforetold story of its American survivors In 1959 a Cincinnati pharmaceutical firm the William S Merrell Company quietly began distributing samples of an exciting new wonder drug already popular around the world Touted as a sedative without risks thalidomide was handed out freely under the guise of clinical trials by doctors who believed approval by the Food and Drug Administration was imminent But in 1960 when the application for thalidomide landed on the desk of FDA medical reviewer Frances Kelsey she quickly grew suspicious When she learned that the drug was causing severe birth abnormalities abroad she and a team of dedicated doctors parents and journalists fought tirelessly to block its authorization in the United States and stop its sale around the world Jennifer Vanderbes set out to write about this FDA success story only to discover a sinister truth that had been buried for decades For more than five years several American pharmaceutical firms had distributed unmarked thalidomide samples in shoddy clinical trials reaching tens of thousands of unwitting patients including hundreds of pregnant women As Vanderbes examined government and corporate archives probed court records and interviewed hundreds of key players she unearthed an even more stunning find Scores of Americans had likely been harmed by the drug Deceived by the pharmaceutical firms betrayed by doctors and ignored by the government most of these Americans had spent their lives unaware that thalidomide had caused their birth defects Now for the first time this shocking episode in American history is brought to light Wonder Drug gives voice to the unrecognized victims of this epic scandal and exposes the deceptive practices of Big Pharma that continue to endanger lives today|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Random House|8.9|Jennifer Vanderbes|English|4.7|40|politics
B000FCKKZI|Worth More Dead: And Other True Cases Vol. 10 (Ann Rule's Crime Files)|432|https://m.media-amazon.com/images/I/51b0BurMUKL.jpg|From the Crime Files of New York Times bestselling author Ann Rule the true story of a man who killed his lovers husband his second wife and kidnapped his own child A cold case reopenedand solvedwith dogged police work and new evidence One of the shocking true crimes of passion and greed from Ann Rules Crime Files Former Marine sergeant and judo instructor Roland Pitre Jr claimed it was all an elaborate plan to win back his wifes loveit wasnt supposed to end with her dead body in the trunk of a car Nearly twenty years later he acknowledged that he had hired someone to kill his estranged wife in 1988 though his alleged excuse for why a monstrous mistake happened is as shocking and convoluted as the crime itself Eventually he was charged with firstdegree murder in the longunsolved death of Cheryl Pitre after a mysterious witness betrayed Pitre to save his own skin Tracing back the dark and bloody path of Pitres life two generations of detectives found a chain of brutal and terrifying crimes by a man who manipulated the courts and prisons to walk free|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Pocket Books Illustrated edition|9.9|Ann Rule|English|4.5|453|politics
B005Q07DKY|JFK and the Unspeakable: Why He Died and Why It Matters|832|https://m.media-amazon.com/images/I/51Q3d7HwOmL.jpg|A compelling account of why JFK was assassinated and why the unmasking of this truth remains crucial for the future of our country and the world|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Orbis First Edition|15.1|James W. Douglass|English|4.7|2184|politics
B00HEUJOGU|LBJ and Vietnam: A Different Kind of War (An Administrative History of the Johnson Presidency)|357|https://m.media-amazon.com/images/I/517uV77yDHL.jpg|A compelling analysis A solid addition to our understanding of the Vietnam War and a president Publishers Weekly The Vietnam War remains a divisive memory for Americanspartisans on all sides still debate why it was fought how it could have been better fought and whether it could have been won at all In this major study a noted expert on the war brings a needed objectivity to these debates by examining dispassionately how and why President Lyndon Johnson and his administration conducted the war as they did Drawing on a wealth of newly released documents from the LBJ Library including the Tom Johnson notes from the influential Tuesday Lunch Group George Herring discusses the concept of limited war and how it affected President Johnsons decision making Johnsons relations with his military commanders the administrations pacification program of 19651967 the management of public opinion and the fighting while negotiating strategy pursued after the Tet Offensive in 1968 This indepth analysis from a prizewinning historian and National Book Critics Circle Award finalist exposes numerous flaws in Johnsons approach in a concise wellresearched account that critiques Johnsons management of the Vietnam War in terms of military strategy diplomacy and domestic public opinion Library Journal|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|University of Texas Press|14.1|George C. Herring|English|5|6|politics
B000FC1JAI|Meditations: A New Translation (Modern Library)|240|https://m.media-amazon.com/images/I/41zY8V+5QEL.jpg|Nearly two thousand years after it was written Meditations remains profoundly relevant for anyone seeking to lead a meaningful life Few ancient works have been as influential as the Meditations of Marcus Aurelius philosopher and emperor of Rome AD 161180 A series of spiritual exercises filled with wisdom practical guidance and profound understanding of human behavior it remains one of the greatest works of spiritual and ethical reflection ever written Marcuss insights and adviceon everything from living in the world to coping with adversity and interacting with othershave made the Meditations required reading for statesmen and philosophers alike while generations of ordinary readers have responded to the straightforward intimacy of his style For anyone who struggles to reconcile the demands of leadership with a concern for personal integrity and spiritual wellbeing the Meditations remains as relevant now as it was two thousand years ago In Gregory Hayss new translationthe first in thirtyfive yearsMarcuss thoughts speak with a new immediacy In fresh and unencumbered English Hays vividly conveys the spareness and compression of the original Greek text Never before have Marcuss insights been so directly and powerfully presented With an Introduction that outlines Marcuss life and career the essentials of Stoic doctrine the style and construction of the Meditations and the works ongoing influence this edition makes it possible to fully rediscover the thoughts of one of the most enlightened and intelligent leaders of any era|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Modern Library|11.1|Marcus Aurelius|English|4.7|19826|politics
B08QY6PXX5|Men Who Hate Women: From Incels to Pickup Artists: The Truth about Extreme Misogyny and How it Affects Us All|448|https://m.media-amazon.com/images/I/416SVfZEufL.jpg|The first comprehensive undercover look at the terrorist movement no one is talking about Men Who Hate Women examines the rise of secretive extremist communities who despise women and traces the roots of misogyny across a complex spider web of groups It includes eyeopening interviews with former members of these communities the academics studying this movement and the men fighting back Womens rights activist Laura Bates wrote this book as someone who has been the target of many hatefueled misogynistic attacks online At first the vitriol seemed to be the work of a small handful of individual men but over time the volume and consistency of the attacks hinted at something bigger and more ominous As Bates went undercover into the corners of the internet she found an unseen organized movement of thousands of anonymous men wishing violence and worse upon women In the book Bates explores Extreme communities like incels pickup artists MGTOW Mens Rights Activists and more The hateful toxic rhetoric used by these groups How this movement connects to other extremist movements like white supremacy How young boys are targeted and slowly drawn in Where this ideology shows up in our everyday lives in mainstream media our playgrounds and our government By turns fascinating and horrifying Men Who Hate Women is a broad unflinching account of the deep current of loathing toward women and antifeminism that underpins our society and is a mustread for parents educators and anyone who believes in equality for women Praise for Men Who Hate Women Laura Bates is showing us the path to both intimate and global survivalGloria Steinem Wellresearched and meticulously documented Batess book on the power and danger of masculinity should be required reading for us allLibrary Journal Men Who Hate Women has the power to spark social changeSunday Times|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Sourcebooks|15.1|Laura Bates|English|4.6|1611|politics
B08FGV64B1|Four Thousand Weeks: Time Management for Mortals|290|https://m.media-amazon.com/images/I/412kxZO5s7L.jpg|AN INSTANT NEW YORK TIMES BESTSELLER Provocative and appealing well worth your extremely limited time Barbara Spindel The Wall Street Journal The average human lifespan is absurdly insultingly brief Assuming you live to be eighty you have just over four thousand weeks Nobody needs telling there isnt enough time Were obsessed with our lengthening todo lists our overfilled inboxes worklife balance and the ceaseless battle against distraction and were deluged with advice on becoming more productive and efficient and life hacks to optimize our days But such techniques often end up making things worse The sense of anxious hurry grows more intense and still the most meaningful parts of life seem to lie just beyond the horizon Still we rarely make the connection between our daily struggles with time and the ultimate time management problem the challenge of how best to use our four thousand weeks Drawing on the insights of both ancient and contemporary philosophers psychologists and spiritual teachers Oliver Burkeman delivers an entertaining humorous practical and ultimately profound guide to time and time management Rejecting the futile modern fixation on getting everything done Four Thousand Weeks introduces readers to tools for constructing a meaningful life by embracing finitude showing how many of the unhelpful ways weve come to think about time arent inescapable unchanging truths but choices weve made as individuals and as a societyand that we could do things differently|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Farrar Straus and Giroux|8.9|Oliver Burkeman|English|4.6|7950|politics
B0BBD5GXTF|King: A Life|841|https://m.media-amazon.com/images/I/41NYMGH6BML.jpg|AN INSTANT NEW YORK TIMES BESTSELLER A Washington Post and National Indie Bestseller An Obama Summer Reading List Pick Supple penetrating heartstringpulling and compulsively readable Eigs book is worthy of its subject Dwight Garner The New York Times Editors Choice King is infused with the narrative energy of a thriller The most compelling account of Kings life in a generation Mark Whitaker The Washington Post No book could be more timely than Jonathan Eigs sweeping and majestic new King Eig has created 2023s most vital tome Will Bunch The Philadelphia Inquirer Hailed by The New York Times as the new definitive biography King mixes revelatory new research with accessible storytelling to offer an MLK for our times Vividly written and exhaustively researched Jonathan Eigs King A Life is the first major biography in decades of the civil rights icon Martin Luther King Jrand the first to include recently declassified FBI files In this revelatory new portrait of the preacher and activist who shook the world the bestselling biographer gives us an intimate view of the courageous and often emotionally troubled human being who demanded peaceful protest for his movement but was rarely at peace with himself He casts fresh light on the King familys origins as well as MLKs complex relationships with his wife father and fellow activists King reveals a minister wrestling with his own human frailties and dark moods a citizen hunted by his own government and a man determined to fight for justice even if it proved to be a fight to the death As he follows MLK from the classroom to the pulpit to the streets of Birmingham Selma and Memphis Eig dramatically recreates the journey of a man who recast American race relations and became our only modernday founding fatheras well as the nations most mourned martyr In this landmark biography Eig gives us an MLK for our times a deep thinker a brilliant strategist and a committed radical who led one of historys greatest movements and whose demands for racial and economic justice remain as urgent today as they were in his lifetime Includes 8 pages of blackandwhite photographs|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Farrar Straus and Giroux|11.1|Jonathan Eig|English|4.8|287|politics
B073QR86XF|The Art of War (AmazonClassics Edition)|31|https://m.media-amazon.com/images/I/41UmGUKpWeL.jpg|Long considered the most essential treatise on military strategy and tactics The Art of War comprises thirteen chapters each dedicated to a different aspect of warfare Reaching far beyond the battlefield it is a manifesto for success in every kind of conflict or competition having had a notable influence on various subjects such as law sports and interpersonal relationships In this definitive 1910 Lionel Giles translation the celebrated sinologists interpretive notes and valuable commentary make clear the nuances of Sun Tzus language Most critical Giles provides the context and culture from which the generals theories emerged Revised edition Previously published as The Art of War this edition of The Art of War AmazonClassics Edition includes editorial revisions|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|AmazonClassics|11.1|Sun Tzu|English|4.3|3632|politics
B01FPGY5T0|12 Rules for Life: An Antidote to Chaos|416|https://m.media-amazon.com/images/I/41zGXwxH-ZL.jpg|1 NATIONAL BESTSELLER 1 INTERNATIONAL BESTSELLER What does everyone in the modern world need to know Renowned psychologist Jordan B Petersons answer to this most difficult of questions uniquely combines the hardwon truths of ancient tradition with the stunning revelations of cuttingedge scientific research Humorous surprising and informative Dr Peterson tells us why skateboarding boys and girls must be left alone what terrible fate awaits those who criticize too easily and why you should always pet a cat when you meet one on the street What does the nervous system of the lowly lobster have to tell us about standing up straight with our shoulders back and about success in life Why did ancient Egyptians worship the capacity to pay careful attention as the highest of gods What dreadful paths do people tread when they become resentful arrogant and vengeful Dr Peterson journeys broadly discussing discipline freedom adventure and responsibility distilling the worlds wisdom into 12 practical and profound rules for life 12 Rules for Life shatters the modern commonplaces of science faith and human nature while transforming and ennobling the mind and spirit of its readers|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Random House Canada|7.1|Jordan B. Peterson|English|4.7|58325|politics
