isbn|title|pages|cover|synopsis|publishDate|publisher|price|author|language|rating|totalReviews|categorySlug
B0C6B8T9BM|The Way I Hate Him|524|https://m.media-amazon.com/images/I/51Ze3Ke6IQL.jpg|From USA Today and Amazon Charts bestselling author Meghan Quinn comes a new standalone agegap romcom featuring a new cast of characters that will immediately have you hooked This steamy laugh out loud enemiestolovers small town romance delivers the perfect happily ever after every romance lover craves Why am I holding a box of stolen memorabilia in my arms Its called revenge After failing my last semester of grad school I decided to come back to my hometown and wallow in my boyfriends sympathetic arms Instead he proceeded to dump me for being boring Now Im not typically a spiteful person but theres only so much I can take Hence why Im holding the box of his most cherished possessionsstolen possessions no less The plan To give the box back to its rightful owner and rat my ex out Hows that for being boring But plans never go the way you want them because instead of dropping off the box with a note Im pinned with the crime by the true owner of the box himself Hayes Farrow is grumpy arrogant and stupidly hot in a way that makes it hard to even look him in the eye Not to mention hes my brothers nemesis so I fully intended to stay far far away from the gorgeous jerk But to add insult to the injury that has become my life as of late Hayes gives me two options turn me into the police and press full charges or work it off How could I possibly work for someone I cant stand Easy I dont look good in orange But working for Hayes isnt as horrible as I thought it would be The way I hate him begins to turn into something else something I never thought Id feel But the way my brother reacts when he finds out Im working for his enemy Hed prefer me in prison orange|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|HotLanta Publishing LLC|13.1|Meghan Quinn|English|4.4|6253|romance
B0BP8JRWLP|In the Likely Event|348|https://m.media-amazon.com/images/I/51bMZ63tXrL.jpg|From the instant New York Times bestselling author of Fourth Wing Rebecca Yarros comes a sweeping romance about the sustained power of chance encounters When Izzy Astor gets on a plane to go home she isnt expecting much Its the usual holiday travel experience busy crowded stressful Then she spots her seatmate who is anything but ordinary Nate Phelan sports dark hair blue eyes and a deliciously rugged charm that Izzy cant resist Their connection is undeniable Izzy never believed in destiny before but she does now Just ninety seconds after takeoff their plane goes down in the Missouri River Their lives change They change Nate goes on to a career in the military while Izzy finds her way into politics Despite a few chance encounters over the years the timing never feels right Then comes a highstakes reunion in Afghanistan where Nate is tasked with protecting Izzys life Hell do anything to keep her safe And everything to win her heart|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Montlake|11.1|Rebecca Yarros|English|4.5|14171|romance
B07J4LPZRN|Red, White & Royal Blue: A Novel|443|https://m.media-amazon.com/images/I/517JVp6SudL.jpg|Instant NEW YORK TIMES and USA TODAY bestseller GOODREADS CHOICE AWARD WINNER for BEST DEBUT and BEST ROMANCE of 2019 BEST BOOK OF THE YEAR for VOGUE NPR VANITY FAIR and more What happens when Americas First Son falls in love with the Prince of Wales When his mother became President Alex ClaremontDiaz was promptly cast as the American equivalent of a young royal Handsome charismatic geniushis image is pure millennialmarketing gold for the White House Theres only one problem Alex has a beef with the actual prince Henry across the pond And when the tabloids get hold of a photo involving an AlexHenry altercation USBritish relations take a turn for the worse Heads of family state and other handlers devise a plan for damage control staging a truce between the two rivals What at first begins as a fake Instragramable friendship grows deeper and more dangerous than either Alex or Henry could have imagined Soon Alex finds himself hurtling into a secret romance with a surprisingly unstuffy Henry that could derail the campaign and upend two nations and begs the question Can love save the world after all Where do we find the courage and the power to be the people we are meant to be And how can we learn to let our true colors shine through Casey McQuistons Red White Royal Blue proves true love isnt always diplomatic I took this with me wherever I went and stole every second I had to read Absorbing hilarious tender sexythis book had everything I crave Im jealous of all the readers out there who still get to experience Red White Royal Blue for the first time Christina Lauren New York Times bestselling author of The Unhoneymooners Red White Royal Blue is outrageously fun It is romantic sexy witty and thrilling I loved every second Taylor Jenkins Reid New York Times bestselling author of Daisy Jones The Six|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|St Martins Griffin|12.4|Casey McQuiston|English|4.5|45554|romance
B0C29FCDXF|The Wrong Wife: A Best Friend's Brother Marriage of Convenience Romance|386|https://m.media-amazon.com/images/I/51XUkhOJVZL.jpg|Hes my best friends brother My new boss And now my fake husband Knight Warren The countrys most soughtafter heartthrob and retired military vet is my complete opposite Hes grumpy where Im sunshine Surly where Im happy go lucky Hes the hardened exsoldier Im still trying to find my calling The only thing we have in common is that we both love his sister whos also my best friend So when she asks me to help Knight find a wife I cant say no Turns out hell inherit his fathers empire as long as he gets married within the next month I agree to work as his assistant and interview the women who apply for the position But Knight hates every one of them With the deadline drawing close he proposes I marry him In return hell pay off my debts and take care of my mothers medical treatment Only he has conditions I need to pretend I belong to him be in a fake marriage with him for an entire year But what happens when the chemistry between us ignites Forced to live under his roof I know Im falling for him As the days pass I begin to think he reciprocates my feelings Until he introduces me to his real wife This is a billionaire forced proximity onebed bossemployee fake relationship and a best friends brother novel It is a complete standalone|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)||13.1|L. Steele|English|4|1590|romance
B0BQNC38GP|Not My Kind of Hero|326|https://m.media-amazon.com/images/I/51TlCe9xesL.jpg|From USA Today bestselling author Pippa Grant comes a rollicking romantic comedy about a single mom and a grumpy math teacher tackling their differences on a Wyoming ranch I knew fixing up my life with a fresh start on the hobby ranch I inherited in Hells Bells Wyoming would come with challenges Things like snow Wildlife Local gossip about why my daughter and I are here But the biggest challenge My surly new tenant Hes like a bear Fascinating from a distance but dont get too close or hell bite His personality should be a good thing I have no need of a new man in my life But hes not only my tenant hes also my daughters math teacher and soccer coach I keep running into him He keeps thinking I need to be saved Maybe I do but heres what I dont expect hes a fixerupper in need of saving too And I might be the only woman for the job Hells Bells help me|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Montlake|9.9|Pippa Grant|English|4.6|497|romance
B0C3BJ5QNP|Hideaway Heart: An enemies to lovers, forced proximity small town romance (Cherry Tree Harbor Book 2)|412|https://m.media-amazon.com/images/I/51H1kVp5cfL.jpg|All I wanted was a breaktwo weeks off from being Pixie Hart country music sensation and fourteen days of peace privacy and solitude as plain old Kelly Jo Sullivan But thanks to some overzealous paparazzi my family refuses to let me go anywhere alone and Im stuck sharing this tiny cabin with a tall dark and bearded bodyguard And guess what Theres only one bed Well he can couch it Xander Buckley might be hotter than a stolen blow torch and I get that hes a former Navy SEAL and all but the man gives new meaning to the words overbearing overprotective bossy alpha male I cant even post a photo on social media without him warning me its not safe or take a morning jog without him following behind But hes made it clear that what he says goes and if I dont like it I can kiss my vacation goodbye Instead I end up kissing him I dont even know how it happenedone minute we were at each others throats the next we were at each others mercy Whats even more shocking is how good we are together He understands my need for freedom and I understand his need for control But emotional trust doesnt come easily to me And were on two completely different paths Without question Id put my life in his hands Just dont ask me to give him my heart|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Unknown Publisher|12.4|Melanie Harlow|English|4.6|3450|romance
B09CLVJJ77|Haunting Adeline (Cat and Mouse Duet Book 1)|551|https://m.media-amazon.com/images/I/51dLVZWCcYL.jpg|AN AMAZON TOP 5 BESTSELLER The Manipulator I can manipulate the emotions of anyone who lets me I will make you hurt make you cry make you laugh and sigh But my words dont affect him Especially not when I plead for him to leave Hes always there watching and waiting And I can never look away Not when I want him to come closer The Shadow I didnt mean to fall in love But now that I have I cant stay away Im mesmerized by her smile by her eyes and the way she moves The way she undresses Ill keep watching and waiting Until I can make her mine And once she is Ill never let her go Not even when she begs me to While not required it is highly suggested to read the novella Satans Affair first Authors Note This book ends on a cliffhanger For CWs please check the authors website|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Unknown Publisher|10.9|H. D. Carlton|English|4.4|53275|romance
B0CD2RWNVL|Unravel Me (Playing For Keeps Book 3)|436|https://m.media-amazon.com/images/I/41O8rteGUDL.jpg|Golden boy Notorious serial dater The NHLs most eligible bachelor Thats what the headlines say about me at least I wish I could say theyre not accurate but truthfully I dont even know who I am anymore Between a soulcrushing exgirlfriend and a neverending queue of dates gone wrong one thing has become glaringly obvious I dont want to be Adam Lockwood So when my dog decides to play matchmaker taking down a sweet little thing with rose gold waves brilliant green eyes and a smile for days I cant believe my luck that she doesnt have a clue who I am I know I should tell her but for once in my life someone sees the man behind the goalie mask Rosie gives me all of herher heartache her laughter and her son But me Im holding on a little too tightly to the pieces Im scared to give up the pieces she might not like One small lie becomes a secret hanging above my head but what if theres another one hiding right around the corner Suddenly my deepest desire becomes my biggest fear Im terrified shes going to unravel me Unravel Me is book 3 in the Playing For Keeps series a series of interconnected standalone mature hockey romance stories that contain relatable characters lots of heat swoon laughs and a ride on an emotional rollercoaster Unravel Me contains emotional references to the past death of parents and its surrounding grief as well as brief discussions of foster care depictions of child neglect not by the main character and the death of an animal minimal descriptions and as it pertains to the FMCs training as a veterinarian student not main characters pet If you are sensitive to these subjects please use this information to make an informed decision about whether to proceed with this story|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Unknown Publisher|8.9|Becka Mack|English|4.6|8226|romance
B0CCFVP8ZK|Cognac Villain (Pushkin Bratva Book 1)|526|https://m.media-amazon.com/images/I/51IdX0EhAIL.jpg|One wardrobe malfunction Two people who dont belong together Three awful words Be my wife Everyone else is at this party to marry the host Im only here until I can get a ride home When my dress rips in the worlds worsttimed wardrobe malfunction I go find somewhere quiet to fix it So Im standing there in nothing but my heels when As my luck would have it the door opens And the man of the hour walks in I wish I could say I played it cool But its been a looong time since anyone has seen me in my birthday suit Much less the hottest man Ive ever laid eyes on All I want to do is fix my dress click my heels three times and be back on my couch in fuzzy slippers But Ivan has other ideas Hes decided who hes taking to the altar And I dont have a choice but to say I do COGNAC VILLAIN is Book One in the Pushkin Bratva duet Ivan and Coras story concludes in Book Two COGNAC VIXEN|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Unknown Publisher|12.4|Nicole Fox|English|4.5|2892|romance
B09PNM8FFN|Things We Never Got Over (Knockemout Book 1)|562|https://m.media-amazon.com/images/I/41qiZpKBDvL.jpg|Bearded badboy barber Knox prefers to live his life the way he takes his coffee Alone Unless you count his basset hound Waylon Knox doesnt tolerate drama even when it comes in the form of a stranded runaway bride Naomi wasnt just running away from her wedding She was riding to the rescue of her estranged twin to Knockemout Virginia a rougharoundtheedges town where disputes are settled the oldfashioned waywith fists and beer Usually in that order Too bad for Naomi her evil twin hasnt changed at all After helping herself to Naomis car and cash Tina leaves her with something unexpected The niece Naomi didnt know she had Now shes stuck in town with no car no job no plan and no home with an 11yearold going on thirty to take care of Theres a reason Knox doesnt do complications or highmaintenance women especially not the romantic ones But since Naomis life imploded right in front of him the least he can do is help her out of her jam And just as soon as she stops getting into new trouble he can leave her alone and get back to his peaceful solitary life At least thats the plan until the trouble turns to real danger|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Thats What She Said Publishing|11.1|Lucy Score|English|4.5|145994|romance
