isbn|title|pages|cover|synopsis|publishDate|publisher|price|author|language|rating|totalReviews|categorySlug
B0BGDM197Q|Fourth Wing (The Empyrean Book 1)|664|https://m.media-amazon.com/images/I/61dEdpy80UL.jpg|An Instant New York Times Bestseller A Goodreads Most Anticipated Book Suspenseful sexy and with incredibly entertaining storytelling the first in Yarros Empyrean series will delight fans of romantic adventurefilled fantasy Booklist starred review Fourth Wing will have your heart pounding from beginning to end A fantasy like youve never read before 1 New York Times bestselling author Jennifer L Armentrout Enter the brutal and elite world of a war college for dragon riders from New York Times bestselling author Rebecca Yarros Twentyyearold Violet Sorrengail was supposed to enter the Scribe Quadrant living a quiet life among books and history Now the commanding generalalso known as her toughastalons motherhas ordered Violet to join the hundreds of candidates striving to become the elite of Navarre dragon riders But when youre smaller than everyone else and your body is brittle death is only a heartbeat awaybecause dragons dont bond to fragile humans They incinerate them With fewer dragons willing to bond than cadets most would kill Violet to better their own chances of success The rest would kill her just for being her mothers daughterlike Xaden Riorson the most powerful and ruthless wingleader in the Riders Quadrant Shell need every edge her wits can give her just to see the next sunrise Yet with every day that passes the war outside grows more deadly the kingdoms protective wards are failing and the death toll continues to rise Even worse Violet begins to suspect leadership is hiding a terrible secret Friends enemies lovers Everyone at Basgiath War College has an agendabecause once you enter there are only two ways out graduate or die The Empyrean series is best enjoyed in order Reading Order Book 1 Fourth Wing Book 2 Iron Flame|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)||9.9|Rebecca Yarros|English|4.8|62074|science-fiction
B0C4G3LPX1|Trials of Cydaria: A LitRPG Adventure (System Universe Book 4)|455|https://m.media-amazon.com/images/I/515bNSjYXiL.jpg|He didnt know he was looking for a home until he found one Savannah was unlike any city Derek had ever been to For the first time since his arrival in Cydaria Derek actually met a respectable city lord Natalie Savannah and the city she ruled were much more than hed imagined With this combination Derek made the decision to put down roots by building a shop from scratch and moving his people in He was even able to get Silvi the beloved kitchen that she so desired along with personally meeting Alanah Swan and learning new things about the new system he was thrown intothings that only someone who was truly strong would know Not only that but with his help the Kingdom of Cydaria was able to find and deal with a threat from within in the form of Gerald Torith With the threat of Torith now taken care of Derek can finally relax knowing that the terrible man can never use those he cares about to get to him and hopefully the Kingdom of Cydaria will be able to use their new captive to weed out other threats to the kingdom However none of that has anything to do with Derek any longer He lent his help and got the job done Now hes looking forward to the auction and any gains it may bring him Maybe its time for him to relax or maybe a prince has other plans for him Maybe new trials await Dont miss the fourth installment of Dereks journey in the System Universe Join Derek in this unique combination of the LitRPG Isekai and Slice of Life genres He has friends a bond that should last forever and even a home What more could our overpowered protagonist ask for|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Aethon Books|7.1|SunriseCV|English|4.8|1063|science-fiction
B08FHBV4ZX|Project Hail Mary: A Novel|482|https://m.media-amazon.com/images/I/51YS2zsN+iL.jpg|1 NEW YORK TIMES BESTSELLER From the author of The Martian a lone astronaut must save the earth from disaster in this propulsive Entertainment Weekly cinematic thriller full of suspense humor and fascinating sciencein development as a major motion picture starring Ryan Gosling HUGO AWARD FINALIST ONE OF THE YEARS BEST BOOKS Bill Gates GatesNotes New York Public Library Parade Newsweek Polygon Shelf Awareness She Reads Kirkus Reviews Library Journal An epic story of redemption discovery and cool speculative scifiUSA Today If you loved The Martian youll go crazy for Weirs latestThe Washington Post Ryland Grace is the sole survivor on a desperate lastchance missionand if he fails humanity and the earth itself will perish Except that right now he doesnt know that He cant even remember his own name let alone the nature of his assignment or how to complete it All he knows is that hes been asleep for a very very long time And hes just been awakened to find himself millions of miles from home with nothing but two corpses for company His crewmates dead his memories fuzzily returning Ryland realizes that an impossible task now confronts him Hurtling through space on this tiny ship its up to him to puzzle out an impossible scientific mysteryand conquer an extinctionlevel threat to our species And with the clock ticking down and the nearest human being lightyears away hes got to do it all alone Or does he An irresistible interstellar adventure as only Andy Weir could deliver Project Hail Mary is a tale of discovery speculation and survival to rival The Martianwhile taking us to places it never dreamed of going|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Ballantine Books|6.1|Andy Weir|English|4.7|107933|science-fiction
B09WRJJKXC|The Serpent and the Wings of Night (Crowns of Nyaxia Book 1)|504|https://m.media-amazon.com/images/I/51Tr6sLGS1L.jpg|For humans and vampires the rules of survival are the same never trust never yield and always always guard your heart The adopted human daughter of the Nightborn vampire king Oraya carved her place in a world designed to kill her Her only chance to become something more than prey is entering the Kejari a legendary tournament held by the goddess of death herself But winning wont be easy amongst the most vicious warriors from all three vampire houses To survive Oraya is forced to make an alliance with a mysterious rival Everything about Raihn is dangerous He is a ruthless vampire an efficient killer an enemy to her fathers crown and her greatest competition Yet what terrifies Oraya most of all is that she finds herself oddly drawn to him But theres no room for compassion in the Kejari War for the House of Night brews shattering everything that Oraya thought she knew about her home And Raihn may understand her more than anyone but their blossoming attraction could be her downfall in a kingdom where nothing is more deadly than love The Serpent and the Wings of Night is the first book in a new series of heartwrenching romance dark magic and bloodthirsty intrigue perfect for fans of From Blood and Ash and A Court of Thorns and Roses|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Unknown Publisher|8.9|Carissa Broadbent|English|4.6|41739|science-fiction
B00OZP5VRS|A Court of Thorns and Roses|433|https://m.media-amazon.com/images/I/51RlqfADKXL.jpg|The sexy actionpacked first book in the 1 New York Times bestselling Court of Thorns and Roses series from Sarah J Maas When nineteenyearold huntress Feyre kills a wolf in the woods a terrifying creature arrives to demand retribution Dragged to a treacherous magical land she knows about only from legends Feyre discovers that her captor is not truly a beast but one of the lethal immortal faeries who once ruled her world At least hes not a beast all the time As she adapts to her new home her feelings for the faerie Tamlin transform from icy hostility into a fiery passion that burns through every lie shes been told about the beautiful dangerous world of the Fae But something is not right in the faerie lands An ancient wicked shadow is growing and Feyre must find a way to stop it or doom Tamlinand his worldforever From bestselling author Sarah J Maas comes a seductive breathtaking book that blends romance adventure and faerie lore into an unforgettable read|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Bloomsbury Publishing 1st edition|9.9|Sarah J. Maas|English|4.6|133328|science-fiction
B0BGMH8LLP|After Death|390|https://m.media-amazon.com/images/I/51BiVJXWFuL.jpg|A modernday Lazarus is humanitys last hope in a breathtaking novel about the absolute powers of good and evil by Dean Koontz the 1 New York Times bestselling master of suspense Michael Mace head of security at a topsecret research facility opens his eyes in a makeshift morgue twentyfour hours following an event in which everyone perishedincluding him and his best friend Shelby Shrewsberry Having awakened with an extraordinary ability unlike anything heor anyone elsehas ever imagined Michael is capable of being as elusive as a ghost He sets out to honor his late friend by helping Nina Dozier and her son John whom Shelby greatly admired Although what Michael does for Nina is life changing his actions also evoke the wrath of Johns father a member of one of the most violent street gangs in Los Angeles But an even greater threat is descending the Internal Security Agencys most vicious assassin Durand Calaphas Calaphas will stop at nothing to get his man If Michael dies twice he will not live a third time From the tarnished glamour of Beverly Hills to the streets of South Central to a walled estate in Rancho Santa Fe only Michael can protect Nina and Johnand ensure that light survives in a rapidly darkening world|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Thomas Mercer|14.1|Dean Koontz|English|4.4|5352|science-fiction
B0192CTMYG|Harry Potter and the Sorcerer's Stone|345|https://m.media-amazon.com/images/I/51Ppi-8kISL.jpg|Turning the envelope over his hand trembling Harry saw a purple wax seal bearing a coat of arms a lion an eagle a badger and a snake surrounding a large letter H Harry Potter has never even heard of Hogwarts when the letters start dropping on the doormat at number four Privet Drive Addressed in green ink on yellowish parchment with a purple seal they are swiftly confiscated by his grisly aunt and uncle Then on Harrys eleventh birthday a great beetleeyed giant of a man called Rubeus Hagrid bursts in with some astonishing news Harry Potter is a wizard and he has a place at Hogwarts School of Witchcraft and Wizardry An incredible adventure is about to begin Having become classics of our time the Harry Potter eBooks never fail to bring comfort and escapism With their message of hope belonging and the enduring power of truth and love the story of the Boy Who Lived continues to delight generations of new readers|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Pottermore Publishing|10.9|J.K. Rowling|English|4.8|46519|science-fiction
B015FELXQ0|A Court of Mist and Fury (A Court of Thorns and Roses Book 2)|641|https://m.media-amazon.com/images/I/515sk-V3QDL.jpg|The seductive and stunning 1 New York Times bestselling sequel to Sarah J Maass spellbinding A Court of Thorns and Roses Feyre has undergone more trials than one human woman can carry in her heart Though shes now been granted the powers and lifespan of the High Fae she is haunted by her time Under the Mountain and the terrible deeds she performed to save the lives of Tamlin and his people As her marriage to Tamlin approaches Feyres hollowness and nightmares consume her She finds herself split into two different people one who upholds her bargain with Rhysand High Lord of the feared Night Court and one who lives out her life in the Spring Court with Tamlin While Feyre navigates a dark web of politics passion and dazzling power a greater evil looms She might just be the key to stopping it but only if she can harness her harrowing gifts heal her fractured soul and decide how she wishes to shape her futureand the future of a world in turmoil Bestselling author Sarah J Maass masterful storytelling brings this second book in her dazzling sexy actionpacked series to new heights|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Bloomsbury Publishing 1st edition|10.9|Sarah J. Maas|English|4.8|116985|science-fiction
B0BCQZP4SX|The Ashes and the Star-Cursed King (Crowns of Nyaxia Book 2)|626|https://m.media-amazon.com/images/I/51pUNcQO78L.jpg|Love is a sacrifice at the altar of power In the wake of the Kejari everything Oraya once thought to be true has been destroyed A prisoner in her own kingdom grieving the only family she ever had and reeling from a gutting betrayal she no longer even knows the truth of her own blood Shes left only with one certainty she cannot trust anyone least of all Raihn The House of Night too is surrounded by enemies Raihns own nobles are none too eager to accept a Turned king especially one who was once a slave And the House of Blood digs their claws into the kingdom threatening to tear it apart from the inside When Raihn offers Oraya a secret alliance taking the deal is her only chance at reclaiming her kingdomand gaining her vengeance against the lover who betrayed her But to do so shell need to harness a devastating ancient power intertwined with her fathers greatest secrets But with enemies closing in on all sides nothing is as it seems As she unravels her past and faces her future Oraya finds herself forced to choose between the bloody reality of seizing power and the devastating love that could be her downfall Full of heartbreak redemption bloody intrigue and heartpounding action The Ashes and the StarCursed King is the gutting second installment of the Crowns of Nyaxia series and the conclusion of the Nightborn Duet perfect for fans of From Blood and Ash and A Court of Thorns and Roses|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Unknown Publisher|10.9|Carissa Broadbent|English|4.5|23411|science-fiction
B01LOWN78Y|A Court of Wings and Ruin (A Court of Thorns and Roses Book 3)|721|https://m.media-amazon.com/images/I/51QRVCbF-tL.jpg|The epic third novel in the 1 New York Times bestselling Court of Thorns and Roses series by Sarah J Maas Feyre has returned to the Spring Court determined to gather information on Tamlins actions and learn what she can about the invading king threatening to bring her land to its knees But to do so she must play a deadly game of deceit One slip could bring doom not only for Feyre but for everythingand everyoneshe holds dear As war bears down upon them all Feyre endeavors to take her place amongst the High Fae of the land balancing her struggle to master her powersboth magical and politicaland her love for her court and family Amidst these struggles Feyre and Rhysand must decide whom to trust amongst the cunning and lethal High Lords and hunt for allies in unexpected places In this thrilling third book in the 1 New York Times bestselling series from Sarah J Maas the fate of Feyres world is at stake as armies grapple for power over the one thing that could destroy it|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Bloomsbury Publishing 1st edition|10.9|Sarah J. Maas|English|4.8|107923|science-fiction
