isbn|title|pages|cover|synopsis|publishDate|publisher|price|author|language|rating|totalReviews|categorySlug
B0BSN24XZS|Broken: The Suspicious Death of Alydar and the End of Horse Racing’s Golden Age|376|https://m.media-amazon.com/images/I/41KzYYD1oqL.jpg|One fateful winter night a famous racehorse mysteriously broke his leg while alone in his stall An investigation ensued but the real story has never been tolduntil now It was a cool quiet evening at Calumet Farm where the most valuable racehorsesincluding the prolific stallion Alydarhad settled into their stalls for the evening Alton Stone filling in for the regular night watchman completed his rounds at the barn Although nothing seemed out of the ordinary an inexplicable hunch led Stone to check on Alydar What he founda grievously injured horse with no discernible causejumpstarted one of the biggest mysteries to ever hit the horse racing world One part truecrime investigation one part evocative history of the adrenalinefilled days of horse racings golden age Broken follows Alydars rise to fame and then dives into the sordid details of the crime and trial that came to define his legacy Told with the taut pacing of a legal thriller Broken investigates Alydars death the 415 million insurance payout and the stain it left on the sport of horse racing Throughout animal law attorney and author Fred M Kray weaves together shocking testimony and key evidence from the trials featuring dramatic photos taken the night of the incident Drawing on interviews conducted with more than twentyfive key witnesses Kray reveals insideronly details and in order to discover the truth about the death of this magnificent horse embarks on a major investigationone that leads to an unexpected and startling conclusion|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Live Oak Press|14.1|Fred M. Kray|English|4.5|116|sports
B0C94N2RCY|Catching the Captain (Charleston Coyotes Hockey Book 2)|205|https://m.media-amazon.com/images/I/51LqoVdSQPL.jpg|When Kaiden Hart the captain of the Charleston Coyotes hockey team comes to my aid in an emergency its the first time Ive seen him since I was a young girl And boy have the years been kind to him When he invites me out to dinner accepting seems like the polite thing to do At least thats what I tell myself How else can I justify wanting to be near my older sisters exboyfriend It couldnt have anything to do with his piercing blue eyes and kissable lips Who cares if hes got chiseled abs and a rear end I could bounce a quarter off of Its definitely not how protective he is toward me Or how thoughtful he is offering me his spare room when I need a temporary place to stay I know I should refuse Really I should run in the opposite direction But its too late Im already falling for him Now all I can think about is catching the captain This is a standalone feel good low angst hockey romance where the protective hero get struck with a case of insta love and falls hard for the heroine|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Unknown Publisher|11.1|Jacob Chance|English|4.3|528|sports
B0C5V7GXLW|Wrong Pucking Jersey: A Why Choose Hockey Romance (Heartbreaker Kings Book 1)|806|https://m.media-amazon.com/images/I/51HeMH9ycML.jpg|Have you ever been punched in the face by a hockey player Imagine 61 all chiseled goodness accidentally punching you out into unconsciousness because this girl right here couldnt let the pucking douche of my ex hit the fine goalie in the face Thats exactly what happens when you decide to jump into an explosive brawl between two rival teams thinking theyll stop if the coachs daughter gets involved Yeah that didnt work Now Im sure youre wondering how I Mikayla Cross Johnson ended up in this predicament Lets rewind After graduating with my best friend and becoming certified registered nurses we decided to go outside the box regarding healthcare Where did that land us Getting a sports internship in the hopes of being the team nurse of one of the many NHL hockey teams across North America Everything goes all fine and dandy until we have to choose different teams It shouldnt be a problem until I realize the star players of each team are my exes Cue the theatrics Picking the more tolerable exboyfriend is one thing but digging up old wounds is another These two used to be my best friendsmy Heartbreaker Crewwho tore themselves apart Now I land on the rival team while my sweet father the newly hired coach is assigned to the other This is the definition of messy but it can only go downhill from here Despite being sandwiched between two professional teams fighting to be the winners of the NHL championships and attempting to not fall in love with four players Im coming to realize one striking thing I might be wearing the wrong pucking jersey WRONG PUCKING JERSEY is a spicy 200000 words why choose hockey romance This book stands alone as the first in a brand new hockey romance series|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Unknown Publisher|6.1|Roxanne Steele|English|4|516|sports
B009CJK4GA|Into the Abyss: An Extraordinary True Story|338|https://m.media-amazon.com/images/I/51+ET6nvFmL.jpg|Read the gripping and emotionally affecting book where four men survived the plane crash The pilot A politician A cop and the criminal he was shackled to Washington Post On an icy night in October 1984 a commuter plane carrying nine passengers crashed in the remote wilderness of northern Alberta killing six people Four survived the rookie pilot a prominent politician a cop and the criminal he was escorting to face charges Despite the poor weather Erik Vogel the 24yearold pilot was under intense pressure to fly Larry Shaben the authors father and Canadas first Muslim Cabinet Minister was commuting home after a busy week at the Alberta Legislature Constable Scott Deschamps was escorting Paul Archambault a drifter wanted on an outstanding warrant Against regulations Archambaults handcuffs were removeda decision that would profoundly impact the mens survival As the men fight through the night to stay alive the dividing lines of power wealth and status are erased and each man is forced to confront the precious and limited nature of his existence|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Grand Central Publishing|9.9|Carol Shaben|English|4.3|5885|sports
B0C53WJL4C|Rich Boy - A Dark Hockey Romance|402|https://m.media-amazon.com/images/I/51YgS5slJ5L.jpg|This is a standalone new adult high school hockey romance novel with morally gray characters BLAKE I warned her and she didnt listen now Im going to ruin her I have everything the money the girls the reputation but it didnt keep me out of juviebecause of August Miles Now she will learn to keep her mouth shut and listen to orders AUGUST He warned me to keep my mouth shut I did But it didnt do me any favors He still came for me made me his little toy to have fun whenever he wants Things to know Hockey Romance Highschool ObsessedPossessive Hero Virgin H Standalone Dual POV Jealous Hero Revenge Romance Dark Themes|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Unknown Publisher|11.1|Ruby Wolff|English|4.1|303|sports
B0BY9N54XD|Filthy Puck: A High School Hockey Bully Romance (Red Creek Ravens Book 1)|543|https://m.media-amazon.com/images/I/513Ednwn-XL.jpg|LIFE WAS GOOD UNTIL SHE SHOWED UP AND TOOK WHAT WAS MINE Bailey Linnett Thief Liar Stunning She thought this was a game Taking things that didnt belong to her Making me feel things I shouldntnot for someone like her Rush Carter Confused Angry Lost I never meant to hurt him I only wanted to ease his pain He sees my presence as a betrayalan act of war Red Creek Ravens hockey captain has painted me as his enemy and no matter what I do hes determined to make me bleed Theres a fine line between pleasure and pain and it seems Rush Carter is happy to cross it Please check the TW at the start of the book Filthy Puck and Broken Puck follow Rush and Baileys story and is a complete duet|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Raven Ink Publishing|15.1|L. Ann|English|4.7|67|sports
B009JXIY9I|The Last Viking: The Life of Roald Amundsen, Conqueror of the South Pole|385|https://m.media-amazon.com/images/I/51SxNGcCOdL.jpg|This fascinating biography of the Norwegian explorer who beat Robert Scott to the South Pole is intelligent and often thrilling London Sunday Times The most feted explorer of his generation Roald Amundsen counted the discovery of the Northwest Passage in 1905 as well as the North Pole amongst his greatest achievements His revolutionary approach to technology transcends polar and nautical significance However until now his story has rarely featured as more than a footnote to Scotts tragic failure Reviled for defeating Scott but worshipped by his men Amundsen was pursued by women and creditors throughout his life before disappearing on a mission to rescue an Italian explorer attempting to claim the North Pole for Mussolini The Last Viking is the life of a visionary and a showman who brought the era of Shackleton to an end put the newly independent Norway on the map and was the twentieth centurys brightest trailblazing explorer|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Aurum|6.1|Stephen Bown|English|4.5|800|sports
B0C2PMP9S5|Tent for Seven: A Camping Adventure Gone South Out West|276|https://m.media-amazon.com/images/I/41HlufGnTUL.jpg|A factual account that reads like a breathtaking thriller Highly recommendReaders Favorite 5 Stars Marty Ohlhaut loved the great outdoors and he loved his family but this time the combination proved disastrous Cooped up inside due to long work hours Marty was excited about taking off with his wife and five children for the beautiful Canadian Rockies Aware that this could be their last camping trip together he wanted to make it extra memorable Little did he know how memorable it would be From a massive heat wave and tainted water to encounters with aggressive red ants and formidable bears they experienced one problem after another Then tragedy struck forcing Marty to face the terrifying possibility of losing a loved one With the help of mysterious strangers in one of the worlds most aweinspiring locations he fought to keep his family alive and his sanity intact Now three decades later he joins forces with his daughter Grace Ly to recount the gripping tale of that illfated vacation Written with candor and wit reminiscent of Bill Bryson Tent for Seven vividly captures both the grandeur and the dangers of the wilderness as Marty learns just how much his wife and children mean to himand how fragile life can be|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Sandra Jonas Publishing House|9.9|Marty Ohlhaut|English|4.9|20|sports
B0952X69NY|First Flight, Final Fall|330|https://m.media-amazon.com/images/I/51FVZq7VJ4S.jpg|A new adult romance with sass steam and soccer What do you do when you encounter the famous footballer voted Sexiest Athlete Alive three years running on a soccer field in Germany If youre Saylor Scott you challenge him to a shootout And win Saylors goals have always involved the literal kind constructed from posts and netting Her singleminded focus has cost her a lot but its also earned her recognition as the top female college player in the US She doesnt get attached she never gets distracted and she could care less what anyone thinks of her Meeting Adler Beck the notorious player celebrated worldwide and coveted by women everywhere challenges her indifference But Saylor perfected the art of appearing unbothered a long time ago and her scoring percentage is even higher off the pitch Might as well add a gorgeous German to the tally Because only a fool would fall for a superstar known for breaking hearts alongside records And no one has ever accused Saylor Scott of being a fool|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|CW Farnsworth LLC|9.9|C.W. Farnsworth|English|4.4|3825|sports
B0C711L4GY|Long Shot: Lincoln U- Ice Hockey (Taking The Shot Book 1)|318|https://m.media-amazon.com/images/I/519jFoYs1dL.jpg|Ellie Before my junior year at Lincoln University I promised myself three things Just three Actually dig into the whole sorority girl bit Stay away from athletes Seriously stay away from athletes When Professor Taylor posted our chem midterm partners and I got stuck with the captain of Lincolns Ice Hockey team I was sure Id be able to abide by rules 2 and 3 After all I was immune to Leos whole hottest guy on campus thing I grew up with him my brothers best friend That Ive been obsessed with since I was eight F me Leo Senior year Captain of the hockey team already engaged to the NHL with the perfect union months away my whole life mapped out ahead of me All my dreams have come true Except for the one with Eleanor Rhodes That ones reoccurring starring her in nothing but my number and that perfect little blush that shows up every time she looks at me No biggie Ive worked that one out In the shower Numerous times Never had a reason to get any closer than her Instagram until Professor Taylor assigned us as chem partners The one girl on campus who shouldnt be on my radar yet she somehow seems to be the only one|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Blue Valley Publishing LLC|15.1|MJ Fields|English|4.2|505|sports
